Force (N)_mean,Force (N)_std,Force (N)_min,Force (N)_max,Current (A)_mean,Current (A)_std,Current (A)_min,Current (A)_max,Pressure (PSI),Welding Time (ms),Angle (Deg),Thickness A (mm),Thickness B (mm),Welding_Time_Total
73.35818181818182,0.04686537780028694,73.3,73.45,3579.889090909091,668.7808205750902,1838.88,4426.11,60,1000,15,0.641,0.637,11000
73.21181818181819,0.058960695690972335,73.14,73.31,3537.3254545454547,653.8660460272217,2015.58,4429.61,60,1000,15,0.635,0.633,11000
73.422,0.09919677414109863,73.31,73.6,3657.968,582.8919151342633,2343.11,4421.84,60,1000,15,0.633,0.631,10000
73.7390909090909,0.1164005623229111,73.62,73.95,3722.6018181818185,525.4575573881909,2749.73,4530.96,60,1000,15,0.63,0.646,11000
74.01,0.08313309275559468,73.92,74.18,3855.9309999999996,573.9043090862602,2696.67,4527.54,60,1000,15,0.625,0.631,10000
74.06,0.05395471352079713,74.01,74.17,3963.7050000000004,458.8452744117565,2938.41,4653.8,60,1000,15,0.641,0.639,10000
73.995,0.05296749527356806,73.94,74.09,3879.197,574.194712020428,2515.85,4686.58,60,1000,15,0.643,0.642,10000
74.873,0.5288782678672007,74.13,75.71,3662.9139999999998,681.6435684301745,2099.18,4387.08,60,1000,15,0.632,0.641,10000
76.973,0.645532510585033,75.9,77.74,3797.8239999999996,529.1711760689751,2644.5,4452.85,60,1000,15,0.647,0.64,10000
78.339,0.3343135587372398,77.83,78.7,3725.8770000000004,514.3808976505425,2445.12,4261.39,60,1000,15,0.638,0.631,10000
79.0490909090909,0.23071430581802527,78.72,79.35,3543.211818181818,570.3397369957347,2351.9,4232.64,60,1000,15,0.639,0.623,11000
79.89272727272727,0.25892434837576883,79.39,80.22,3473.950909090909,705.2151515311413,2098.36,4432.33,60,1000,15,0.622,0.618,11000
80.0909090909091,0.13419795419114644,79.86,80.22,3821.364545454546,499.4453403399342,2714.47,4594.66,60,1000,15,0.611,0.62,11000
79.744,0.04351245032554985,79.69,79.84,3688.4659999999994,451.59159908040806,2654.89,4342.95,60,1000,15,0.62,0.621,10000
79.44500000000001,0.1330204662615726,79.31,79.69,3814.297,474.1142562259298,2903.08,4531.34,60,1000,15,0.613,0.618,10000
78.77363636363636,0.2739077482391744,78.48,79.28,3814.3190909090913,506.6296408117975,2829.27,4561.98,60,1000,15,0.622,0.613,11000
74.77454545454545,0.09331276829711717,74.58,74.87,3842.3072727272734,562.5350700372538,2512.43,4597.28,60,800,15,0.628,0.629,8800
74.72090909090909,0.05717596443516287,74.67,74.85,3602.294545454545,440.70593119139284,2799.93,4179.07,60,800,15,0.618,0.623,8800
75.208,0.04315347288715486,75.16,75.27,3825.6949999999997,573.641170152949,2463.34,4514.22,60,800,15,0.628,0.623,8000
75.11090909090909,0.08300054764332633,75.04,75.27,3539.359090909091,436.09664663820894,2777.11,4153.88,60,800,15,0.633,0.628,8800
80.4688888888889,0.015365907428820123,80.45,80.49,3617.6800000000003,522.3771885572721,2433.13,4438.92,60,800,15,0.632,0.631,7200
80.69333333333333,0.13910427743242973,80.51,80.9,2932.0788888888887,325.3996561324413,2309.84,3331.77,60,800,15,0.626,0.628,7200
81.135,0.09426406677899084,80.97,81.25,3322.23,457.8884580019771,2450.04,3957.1,60,800,15,0.628,0.62,6400
80.01222222222222,0.12306276627983352,79.88,80.22,3388.181111111111,547.1475958423935,2285.89,4123.96,60,800,15,0.631,0.62,7200
79.85,0.02267786838055348,79.81,79.88,3127.0275,369.19995394482,2505.57,3679.15,60,800,15,0.621,0.627,6400
79.49000000000001,0.16985287751462527,79.25,79.76,3219.8633333333332,389.17552424966306,2632.12,3870.52,60,800,15,0.617,0.623,7200
78.65666666666667,0.029580398915504194,78.62,78.69,2954.1555555555556,497.78597306249776,1843.55,3588.75,60,800,15,0.631,0.632,7200
78.86222222222221,0.10709549217610927,78.68,79.0,2917.7155555555555,772.2910762806841,1237.24,3631.16,60,800,15,0.628,0.633,7200
77.9211111111111,0.03951089863709322,77.86,78.0,3228.282222222222,536.814060587504,2056.97,3869.63,60,800,15,0.632,0.624,7200
77.84222222222223,0.033829638550308024,77.8,77.89,3250.5988888888887,407.33979726526997,2632.12,3780.6,60,800,15,0.633,0.624,7200
78.19333333333333,0.16370705543745753,77.93,78.42,3338.9355555555553,411.5800993461391,2492.5,4062.19,60,800,15,0.631,0.623,7200
78.29222222222222,0.12823589374447805,78.07,78.41,3650.432222222222,290.1577806029754,3364.14,4031.16,60,800,15,0.633,0.632,7200
82.13222222222221,0.4555704604607787,81.47,82.81,3689.715555555556,365.9181164588297,3227.41,4336.61,60,800,15,0.631,0.628,7200
80.85333333333332,0.3220636583037618,80.43,81.34,3396.963333333333,403.8624981970967,2718.27,3934.87,60,800,15,0.632,0.628,7200
80.06625,0.21145330453790503,79.76,80.37,3698.54875,511.4232408942576,2745.97,4367.83,60,800,15,0.627,0.63,6400
79.11666666666666,0.03354101966250457,79.07,79.16,3597.257777777778,505.0078087212557,2418.24,4306.36,60,800,15,0.632,0.624,7200
78.92333333333335,0.0357071421427216,78.89,78.98,2968.0944444444444,637.5545942331354,1690.74,3688.49,60,800,15,0.627,0.63,7200
78.92333333333335,0.007071067811874813,78.91,78.93,3287.0566666666664,479.32395076294705,2239.52,3960.14,60,800,15,0.621,0.629,7200
82.50222222222222,0.652816547312062,81.57,83.46,2920.6777777777775,913.5322681325736,1242.79,4060.5,60,800,15,0.625,0.629,7200
